Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Régimen y estado;Periodo;Total
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2008;2.353
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2007;3.807
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2021;7.758
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2020;5.598
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2019;6.630
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2018;6.528
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2017;5.636
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2016;4.796
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2015;4.445
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2014;3.755
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2013;3.981
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2012;3.940
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2011;4.522
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2010;5.552
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2009;5.481
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2008;8.455
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2007;11.015
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2021;1.561
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2020;994
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2019;1.129
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2018;968
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2017;777
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2016;685
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2015;881
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2014;1.124
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2013;1.678
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2012;1.623
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2011;2.023
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2010;2.627
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2009;2.855
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2008;4.633
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2007;5.190
Total Nacional;01 Andalucía;14 Córdoba;Vivienda usada;2021;6.197
Total Nacional;01 Andalucía;14 Córdoba;Vivienda usada;2020;4.604
Total Nacional;01 Andalucía;14 Córdoba;Vivienda usada;2019;5.501
Total Nacional;01 Andalucía;14 Córdoba;Vivienda usada;2018;5.560
Total Nacional;01 Andalucía;14 Córdoba;Vivienda usada;2017;4.859
Total Nacional;01 Andalucía;14 Córdoba;Vivienda usada;2016;4.111
Total Nacional;01 Andalucía;14 Córdoba;Vivienda usada;2015;3.564
Total Nacional;01 Andalucía;14 Córdoba;Vivienda usada;2014;2.631
Total Nacional;01 Andalucía;14 Córdoba;Vivienda usada;2013;2.303
Total Nacional;01 Andalucía;14 Córdoba;Vivienda usada;2012;2.317
Total Nacional;01 Andalucía;14 Córdoba;Vivienda usada;2011;2.499
Total Nacional;01 Andalucía;14 Córdoba;Vivienda usada;2010;2.925
Total Nacional;01 Andalucía;14 Córdoba;Vivienda usada;2009;2.626
Total Nacional;01 Andalucía;14 Córdoba;Vivienda usada;2008;3.822
Total Nacional;01 Andalucía;14 Córdoba;Vivienda usada;2007;5.825
Total Nacional;01 Andalucía;14 Córdoba;Vivienda libre;2021;6.759
Total Nacional;01 Andalucía;14 Córdoba;Vivienda libre;2020;4.884
Total Nacional;01 Andalucía;14 Córdoba;Vivienda libre;2019;5.721
Total Nacional;01 Andalucía;14 Córdoba;Vivienda libre;2018;5.656
Total Nacional;01 Andalucía;14 Córdoba;Vivienda libre;2017;4.966
Total Nacional;01 Andalucía;14 Córdoba;Vivienda libre;2016;4.217
Total Nacional;01 Andalucía;14 Córdoba;Vivienda libre;2015;3.877
Total Nacional;01 Andalucía;14 Córdoba;Vivienda libre;2014;3.371
Total Nacional;01 Andalucía;14 Córdoba;Vivienda libre;2013;3.437
Total Nacional;01 Andalucía;14 Córdoba;Vivienda libre;2012;3.178
Total Nacional;01 Andalucía;14 Córdoba;Vivienda libre;2011;3.861
Total Nacional;01 Andalucía;14 Córdoba;Vivienda libre;2010;4.890
Total Nacional;01 Andalucía;14 Córdoba;Vivienda libre;2009;4.748
Total Nacional;01 Andalucía;14 Córdoba;Vivienda libre;2008;7.347
Total Nacional;01 Andalucía;14 Córdoba;Vivienda libre;2007;9.727
Total Nacional;01 Andalucía;14 Córdoba;Vivienda protegida;2021;999
Total Nacional;01 Andalucía;14 Córdoba;Vivienda protegida;2020;714
Total Nacional;01 Andalucía;14 Córdoba;Vivienda protegida;2019;909
Total Nacional;01 Andalucía;14 Córdoba;Vivienda protegida;2018;872
Total Nacional;01 Andalucía;14 Córdoba;Vivienda protegida;2017;670
